1)Какой метод разворачивает список?, A)Clear, B)clear, c)reverse,c
2)Что такое if?, A)Цикл, B)Условный оператор, C)Функция,b
3)Что делает команда list.reverse?, a)Очищает список,  b)Разворачивает список, c)Добавляет элемент в конец списка,b
4)Python является:, A)Языком высокого уровня,  B)Машинно - ориентированным языком, С)Объектно - ориентированным языком,a
5)Что такое строка?, A)Структура данных для хранения объектов различных типов, B)Упорядоченные последовательности символов используемые для хранения текстовой информации, C)Неупорядоченная структура данных с доступом по ключу,b
6) Что делает команда list.append?, A)Добавляет элемент в конец списка, B)Очищает список, C)Разворачивает список,a
7)Какой метод создает копию словаря?, A)dict.keys, B)dict.copy,  C)dict.clear,b
8)Какая библиотека отвечает за время?, A)Localtime, B)Time, C)time,c
9)Кто был создателем языка програмиррования python?, A)Гвидо ван Россум, B)Бьёрн Страуструп, C)Джеймс Гослинг,a
10)В каком году был создан python?, A)в 1999 году, B)август 1994 года,  C)май 1994 года,b
11)Почему вы учитесь на программиста:, А)высокая зарплата, В)Интересная работа, С)родители заставили,b
12)Что делает команда break?, a) Останавливает цикл, b) Повторяет цикл, c) Ничего не делает,a
13)конец строки является..., a)концом инструкции, b)началом, c)серединой,a
14)Цикл while это?, a) один из самых универсальных циклов в Python, поэтому довольно медленный. Выполняет тело цикла до тех пор, пока условие цикла истинно, b)начинает следующий проход цикла, минуя оставшееся тело цикла, c)упорядоченные изменяемые коллекции объектов произвольных типов (почти как массив, но типы могут отличаться),a
15)Словари в Python это?, a)неупорядоченные коллекции произвольных объектов с доступом по ключу. Их иногда ещё называют ассоциативными массивами или хеш-таблицами., b)Модуль random предоставляет функции для генерации случайных чисел букв случайного выбора элементов последовательности., c)основной инструмент выбора в Python. Проще говоря она выбирает какое действие следует выполнить в зависимости от значения переменных в момент проверки условия.,a
16)reverse()это, a)Метод cписков, b)функция, c)условный оператор,a
17)первая программа которая, a)hello world, b)hey, c)Privet,a
18)csv это?, a)это текстовый файл в котором каждая строка имеет несколько полей разделенных запятыми  или другими разделителями. Вы можете рассматривать каждую строчку как ряд  а каждое поле — как столбец.,b)это основной инструмент, который я использую для создания PDF с нуля. Однако, я заметил, что есть еще один — PyFPDF или FPDF для Python. Пакет PyFPDF – это порт «бесплатного» пакета PDF, который написан на PHP. Релиза этого проекта не было несколько лет, однако есть движения в его репозитории на Github, так что работа над проектом ведется,c)это просто, так как он подразумевает работу с pip,a 
19)Что делает метод append()?, a)метод добавляет один элемент в конец списка., b)убирает последдний символ, c)переворачивает слово,a
20)Функция в python это, a) объект, принимающий аргументы и возвращающий значение. Обычно функция определяется с помощью инструкции def, b)неупорядоченные коллекции произвольных объектов с доступом по ключу. Их иногда ещё называют ассоциативными массивами или хеш-таблицами, c)это основной инструмент, который я использую для создания PDF,a